CAD_commit,pair,grid,frequency_MHz,Sdd11_dB,Scd21_dB,insertion_loss_dB
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,62,-44.33610259504395,-68.05270369256242,0.0005004852531783376
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,63,-44.197830847504484,-67.9133299064618,0.0005014417412778663
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,64,-44.06175919019802,-67.77613851946454,0.0005024341015566953
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,65,-43.92781975710047,-67.64106167971707,0.0005034632589537026
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,66,-43.79594779107648,-67.50803464369446,0.0005045301487593923
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,67,-43.66608145686413,-67.3769955892761,0.0005056357164481385
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,68,-43.538161667914764,-67.24788544261196,0.0005067809174814982
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,69,-43.41213192587282,-67.1206477176425,0.000507966717124064
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,70,-43.28793817160709,-66.99522836719953,0.0005091940902477453
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,71,-43.165528646805235,-66.87157564460605,0.0005104640211292995
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,72,-43.04485376525104,-66.7496399749947,0.0005117775032642607
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,73,-42.92586599297695,-66.62937383549735,0.0005131355391606178
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,74,-42.808519736572464,-66.51073164357685,0.0005145391401459945
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,75,-42.692771238988136,-66.39366965285073,0.0005159893261410787
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,76,-42.578578482240744,-66.27814585581609,0.0005174871254909159
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,77,-42.46590109647805,-66.16411989294394,0.0005190335747373774
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,78,-42.354700274911785,-66.0515529676338,0.00052062971840706
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,79,-42.244938694166734,-65.94040776654934,0.0005222766088155817
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,80,-42.13658043964344,-65.83064838504158,0.0005239753058284824
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,81,-42.029590935513326,-65.72224025711655,0.0005257268766925263
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,82,-41.92393687901162,-65.61515008976104,0.0005275323957802101
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,83,-41.819586178711816,-65.50934580123034,0.0005293929443853879
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,84,-41.71650789649541,-65.40479646301442,0.0005313096105188949
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,85,-41.614672192958366,-65.30147224526783,0.0005332834886627065
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,86,-41.5140502760065,-65.19934436540667,0.000535315679581961
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,87,-41.414614352427144,-65.09838503968903,0.0005374072900665844
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,88,-41.31633758222296,-64.99856743755784,0.000539559432724029
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,89,-41.21919403553087,-64.89986563855945,0.0005417732257700853
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,90,-41.1231586519444,-64.8022545916852,0.0005440497927666535
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,91,-41.02820720208519,-64.70571007693633,0.0005463902624318476
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,92,-40.93431625127422,-64.61020866900975,0.0005487957683710188
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,93,-40.84146312516613,-64.51572770292297,0.0005512674488820402
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,94,-40.749625877222556,-64.42224524150619,0.0005538064467094803
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,95,-40.65878325790551,-64.32974004459764,0.0005564139087978132
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,96,-40.5689146854846,-64.23819153984498,0.0005590909860860999
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,97,-40.48000021835546,-64.1475797950398,0.0005618388332457706
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,98,-40.392020528779675,-64.05788549184116,0.0005646586084647019
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,99,-40.304956877956776,-63.969089900876604,0.0005675514731975391
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,100,-40.21879109234802,-63.881174858048446,0.0005705185919391675
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,101,-40.13350554117977,-63.794122742048025,0.0005735611319779313
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,102,-40.04908311505477,-63.70791645296309,0.0005766802631527131
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,103,-39.9655072056058,-63.62253939193568,0.000579877157629301
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,104,-39.8827616861329,-63.537975441814474,0.0005831529896372187
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,105,-39.80083089316743,-63.454208948692695,0.0005865089352518819
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,106,-39.719699608909174,-63.37122470436934,0.00058994617213143
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,107,-39.639353044488736,-63.28900792960948,0.0005934658792824919
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,108,-39.559776824007564,-63.207544258173165,0.0005970692368327019
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,109,-39.4809569693142,-63.12681972160729,0.0006007574257521054
